#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
88,Patty Mills,G,188.0,81.6,36,Los Angeles Clippers,15,Saint Mary's,2009 Rnd 2 Pick 25,Australia
20,Shake Milton,SG,195.6,93.0,28,Los Angeles Lakers,6,Southern Methodist,2018 Rnd 2 Pick 24,United States
10,Justin Minaya,F,195.6,93.0,25,Portland Trail Blazers,2,Providence,"2022 NBA Draft, Undrafted",United StatesDominican Republic
27,Riley Minix,SF,200.7,104.3,24,San Antonio Spurs,0,Morehead State,"2024 NBA Draft, Undrafted",United States
8,Josh Minott,F,203.2,93.0,22,Minnesota Timberwolves,2,Memphis,2022 Rnd 2 Pick 15,United States
21,Yves Missi,C,210.8,106.6,20,New Orleans Pelicans,0,Baylor,2024 Rnd 1 Pick 21,Cameroon
25,Ajay Mitchell,PG,195.6,86.2,22,Oklahoma City Thunder,0,UC Santa Barbara,2024 Rnd 2 Pick 8,Belgium
45,Davion Mitchell,PG,182.9,91.6,26,Miami Heat,3,Baylor,2021 Rnd 1 Pick 9,United States
45,Donovan Mitchell,SG,190.5,97.5,28,Cleveland Cavaliers,7,Louisville,2017 Rnd 1 Pick 13,United States
4,Evan Mobley,PF,210.8,97.5,23,Cleveland Cavaliers,3,USC,2021 Rnd 1 Pick 3,United States
2,Jonathan Mogbo,F,205.7,102.1,23,Toronto Raptors,0,San Francisco,2024 Rnd 2 Pick 1,United States
0,Malik Monk,SG,190.5,90.7,27,Sacramento Kings,7,Kentucky,2017 Rnd 1 Pick 11,United States
4,Moses Moody,SG,195.6,95.7,22,Golden State Warriors,3,Arkansas,2021 Rnd 1 Pick 14,United States
9,"Wendell Moore, Jr.",SF,195.6,97.5,23,Charlotte Hornets,2,Duke,2022 Rnd 1 Pick 26,United States
12,Ja Morant,G,188.0,78.9,25,Memphis Grizzlies,5,Murray State,2019 Rnd 1 Pick 2,United States
88,Markieff Morris,PF,205.7,111.1,35,Los Angeles Lakers,13,Kansas,2011 Rnd 1 Pick 13,United States
23,Monte Morris,G,188.0,83.0,29,Phoenix Suns,7,Iowa State,2017 Rnd 2 Pick 21,United StatesNigeria
25,Trey Murphy III,G,203.2,93.4,24,New Orleans Pelicans,3,Virginia,2021 Rnd 1 Pick 17,United States
5,Dejounte Murray,SG,193.0,81.6,28,New Orleans Pelicans,8,Washington,2016 Rnd 1 Pick 29,United States
27,Jamal Murray,SG,193.0,97.5,27,Denver Nuggets,8,Kentucky,2016 Rnd 1 Pick 7,Canada
13,Keegan Murray,F,203.2,102.1,24,Sacramento Kings,2,Iowa,2022 Rnd 1 Pick 4,United States
24,Kris Murray,F,203.2,98.0,24,Portland Trail Blazers,1,Iowa,2023 Rnd 1 Pick 23,United States
19,Svi Mykhailiuk,SF,200.7,93.0,27,Utah Jazz,6,Kansas,2018 Rnd 2 Pick 17,Ukraine
22,"Larry Nance, Jr.",SF,203.2,111.1,32,Atlanta Hawks,9,Wyoming,2015 Rnd 1 Pick 27,United States
2,Andrew Nembhard,PG,193.0,86.6,25,Indiana Pacers,2,Gonzaga,2022 Rnd 2 Pick 1,Canada
23,Aaron Nesmith,F,198.1,97.5,25,Indiana Pacers,4,Vanderbilt,2020 Rnd 1 Pick 14,United States
13,Tristen Newton,SG,195.6,86.2,24,Minnesota Timberwolves,0,UConn,2024 Rnd 2 Pick 19,United States
20,Georges Niang,F,200.7,104.3,31,Atlanta Hawks,8,Iowa State,2016 Rnd 2 Pick 20,United States
22,Zeke Nnaji,PF,205.7,108.9,24,Denver Nuggets,4,Arizona,2020 Rnd 1 Pick 22,United States
11,Jusuf Nurkic,FC,213.4,131.5,30,Charlotte Hornets,10,Cedevita (Croatia),2014 Rnd 1 Pick 16,Bosnia and Herzegovina
00,Royce O'Neale,SF,198.1,102.5,31,Phoenix Suns,7,Baylor,"2015 NBA Draft, Undrafted",United States
12,Josh Okogie,SG,193.0,96.6,26,Charlotte Hornets,6,Georgia Tech,2018 Rnd 1 Pick 20,NigeriaUnited States
17,Onyeka Okongwu,PF,208.3,108.9,24,Atlanta Hawks,4,USC,2020 Rnd 1 Pick 6,United States
35,Isaac Okoro,SG,195.6,102.1,24,Cleveland Cavaliers,4,Auburn,2020 Rnd 1 Pick 5,United States
13,Kelly Olynyk,C,210.8,108.9,33,New Orleans Pelicans,11,Gonzaga,2013 Rnd 1 Pick 13,Canada
9,"Kelly Oubre, Jr.",SF,203.2,92.1,29,Philadelphia Sixers,9,Kansas,2015 Rnd 1 Pick 15,United States
3,Chris Paul,PG,182.9,79.4,39,San Antonio Spurs,19,Wake Forest,2005 Rnd 1 Pick 4,United States
1,Cameron Payne,G,190.5,83.0,30,New York Knicks,9,Murray State,2015 Rnd 1 Pick 14,United States
0,Gary Payton II,G,188.0,88.5,32,Golden State Warriors,8,Oregon State,"2016 NBA Draft, Undrafted",United States
5,Elfrid Payton,G,190.5,88.5,30,Charlotte Hornets,8,Louisiana,2014 Rnd 1 Pick 10,United States
13,Drew Peterson,F,205.7,93.0,25,Boston Celtics,1,USC,"2023 NBA Draft, Undrafted",United States
15,Julian Phillips,F,203.2,89.8,21,Chicago Bulls,1,Tennessee,2023 Rnd 2 Pick 5,United States
24,Jalen Pickett,F,188.0,91.6,25,Denver Nuggets,1,Penn State,2023 Rnd 2 Pick 2,United States
1,"Scotty Pippen, Jr.",G,185.4,77.1,24,Memphis Grizzlies,2,Vanderbilt,"2022 NBA Draft, Undrafted",United States
29,Daeqwon Plowden,GF,198.1,98.0,26,Atlanta Hawks,0,Bowling Green,"2022 NBA Draft, Undrafted",United States
22,Mason Plumlee,PF,208.3,115.2,34,Phoenix Suns,11,Duke,2013 Rnd 1 Pick 22,United States
2,Brandin Podziemski,G,193.0,93.0,21,Golden State Warriors,1,Santa Clara,2023 Rnd 1 Pick 19,United States
19,Jakob Poeltl,C,213.4,117.9,29,Toronto Raptors,8,Utah,2016 Rnd 1 Pick 9,Austria
13,Jordan Poole,SG,193.0,88.0,25,Washington Wizards,5,Michigan,2019 Rnd 1 Pick 28,United States
9,"Craig Porter, Jr.",G,185.4,81.6,24,Cleveland Cavaliers,1,Wichita State,"2023 NBA Draft, Undrafted",United States
3,"Kevin Porter, Jr.",SF,193.0,92.1,24,Milwaukee Bucks,4,USC,2019 Rnd 1 Pick 30,United States
1,"Michael Porter, Jr.",PF,208.3,98.9,26,Denver Nuggets,6,Missouri,2018 Rnd 1 Pick 14,United States
9,Bobby Portis,PF,208.3,113.4,30,Milwaukee Bucks,9,Arkansas,2015 Rnd 1 Pick 22,United States
8,Kristaps Porzingis,FC,218.4,108.9,29,Boston Celtics,9,Real Betis Baloncesto (Spain),2015 Rnd 1 Pick 4,Latvia
21,Quinten Post,C,213.4,108.0,24,Golden State Warriors,0,Boston College,2024 Rnd 2 Pick 22,Netherlands
25,Micah Potter,C,205.7,112.5,26,Utah Jazz,3,Wisconsin,"2021 NBA Draft, Undrafted",United States
7,Dwight Powell,PF,208.3,108.9,33,Dallas Mavericks,10,Stanford,2014 Rnd 2 Pick 15,Canada
24,Norman Powell,SG,193.0,97.5,31,Los Angeles Clippers,9,UCLA,2015 Rnd 2 Pick 16,United States
12,Taurean Prince,F,198.1,98.9,30,Milwaukee Bucks,8,Baylor,2016 Rnd 1 Pick 12,United States
11,Payton Pritchard,PG,185.4,88.5,27,Boston Celtics,4,Oregon,2020 Rnd 1 Pick 26,United States
8,Olivier-Maxence Prosper,F,200.7,104.3,22,Dallas Mavericks,1,Marquette,2023 Rnd 1 Pick 24,Canada
